crop_size,color_space,blur_method,bilateral_d,gaussian_ksize,use_clahe,polarity_margin,accuracy
18,hsv,bilateral,5,3,False,0.3,0.162400
22,gray,bilateral,5,3,False,0.3,0.162400
18,gray,none,5,3,False,0.1,0.162400
18,lab,gaussian,5,3,False,0.2,0.162200
18,hsv,gaussian,5,3,False,0.1,0.161800
18,hsv,bilateral,9,3,False,0.2,0.161400
18,lab,none,5,3,False,0.1,0.161400
18,hsv,bilateral,5,3,False,0.1,0.161400
18,hsv,bilateral,9,3,False,0.3,0.161200
18,hsv,none,5,3,False,0.3,0.161200
18,gray,gaussian,5,3,False,0.2,0.160800
18,gray,bilateral,5,3,False,0.2,0.160800
18,hsv,gaussian,5,5,False,0.2,0.160400
18,lab,none,5,3,False,0.3,0.160000
18,hsv,gaussian,5,5,False,0.3,0.160000
18,lab,gaussian,5,5,False,0.3,0.159800
18,gray,gaussian,5,3,False,0.3,0.159200
18,gray,none,5,3,False,0.2,0.159200
18,lab,bilateral,5,3,False,0.3,0.159200
18,lab,bilateral,9,3,False,0.1,0.159000
18,gray,gaussian,5,5,False,0.1,0.159000
18,hsv,gaussian,5,5,False,0.1,0.158800
18,gray,gaussian,5,3,False,0.1,0.158800
18,lab,bilateral,5,3,False,0.1,0.158600
18,lab,gaussian,5,5,False,0.2,0.158000
18,lab,gaussian,5,5,False,0.1,0.157400
18,gray,bilateral,5,3,False,0.1,0.157200
18,hsv,bilateral,9,3,False,0.1,0.157000
18,lab,bilateral,9,3,False,0.3,0.156000
18,gray,gaussian,5,5,False,0.2,0.155200
18,gray,none,5,3,False,0.3,0.154800
18,gray,bilateral,9,3,False,0.1,0.154400
18,gray,bilateral,5,3,False,0.3,0.153600
18,gray,bilateral,9,3,False,0.3,0.150200
18,gray,gaussian,5,5,False,0.3,0.148400
